Ref,Val,T12,fpeak,gain,fimg,img,fhimg,himg
C101,12.19,4,476000000,7.286564119,376000000,54.64947675,426000000,37.43584812
C101,13.185,4,476000000,7.286564154,376000000,54.64947657,426000000,37.43584805
C101,14.18,4,476000000,7.286564183,376000000,54.64947641,426000000,37.43584799
C101,15.175,4,476000000,7.286564209,376000000,54.64947628,426000000,37.43584793
C101,16.17,4,476000000,7.286564231,376000000,54.64947616,426000000,37.43584788
C101,17.165,4,476000000,7.28656425,376000000,54.64947605,426000000,37.43584784
C101,18.16,4,476000000,7.286564268,376000000,54.64947596,426000000,37.4358478
C101,19.155,4,476000000,7.286564284,376000000,54.64947588,426000000,37.43584777
C101,20.15,4,476000000,7.286564298,376000000,54.6494758,426000000,37.43584774
C101,21.145,4,476000000,7.286564311,376000000,54.64947573,426000000,37.43584771
C101,22.14,4,476000000,7.286564322,376000000,54.64947567,426000000,37.43584768
C101,23.135,4,476000000,7.286564333,376000000,54.64947561,426000000,37.43584766
C101,24.13,4,476000000,7.286564343,376000000,54.64947556,426000000,37.43584764
C101,25.125,4,476000000,7.286564352,376000000,54.64947551,426000000,37.43584762
C101,26.12,4,476000000,7.28656436,376000000,54.64947546,426000000,37.4358476
C101,27.115,4,476000000,7.286564368,376000000,54.64947542,426000000,37.43584758
C101,28.11,4,476000000,7.286564375,376000000,54.64947538,426000000,37.43584757
C101,29.105,4,476000000,7.286564382,376000000,54.64947535,426000000,37.43584755
C101,30.1,4,476000000,7.286564388,376000000,54.64947532,426000000,37.43584754
C101,31.095,4,476000000,7.286564394,376000000,54.64947528,426000000,37.43584753
C101,32.09,4,476000000,7.2865644,376000000,54.64947525,426000000,37.43584752
C101,33.085,4,476000000,7.286564404,376000000,54.64947523,426000000,37.4358475
C101,34.08,4,476000000,7.286564409,376000000,54.6494752,426000000,37.43584749
C101,35.075,4,476000000,7.286564414,376000000,54.64947518,426000000,37.43584748
C101,36.07,4,476000000,7.286564418,376000000,54.64947515,426000000,37.43584748
C101,37.065,4,476000000,7.286564422,376000000,54.64947513,426000000,37.43584747
C101,38.06,4,476000000,7.286564427,376000000,54.64947511,426000000,37.43584746
C101,39.055,4,476000000,7.28656443,376000000,54.64947509,426000000,37.43584745
C101,40.05,4,476000000,7.286564434,376000000,54.64947507,426000000,37.43584744
C101,41.045,4,476000000,7.286564437,376000000,54.64947505,426000000,37.43584743
C101,42.04,4,476000000,7.286564439,376000000,54.64947504,426000000,37.43584743
C101,43.035,4,476000000,7.286564443,376000000,54.64947502,426000000,37.43584742
C101,44.03,4,476000000,7.286564447,376000000,54.64947501,426000000,37.43584742
C101,45.025,4,476000000,7.28656445,376000000,54.64947499,426000000,37.43584741
C101,46.02,4,476000000,7.286564452,376000000,54.64947497,426000000,37.4358474
C101,47.015,4,476000000,7.286564455,376000000,54.64947496,426000000,37.4358474
C101,48.01,4,476000000,7.286564457,376000000,54.64947495,426000000,37.43584739
C101,49.005,4,476000000,7.286564459,376000000,54.64947494,426000000,37.43584739
C101,50,4,476000000,7.286564462,376000000,54.64947493,426000000,37.43584739
C101,0.25,4.5,490000000,6.210976878,390000000,51.15088879,440000000,37.40782634
C101,1.245,4.5,490000000,6.210991465,390000000,51.15079641,440000000,37.40778745
C101,2.24,4.5,490000000,6.210993093,390000000,51.1507861,440000000,37.40778311
C101,3.235,4.5,490000000,6.210993719,390000000,51.15078213,440000000,37.40778144
C101,4.23,4.5,490000000,6.210994051,390000000,51.15078003,440000000,37.40778056
C101,5.225,4.5,490000000,6.210994257,390000000,51.15077872,440000000,37.40778001
C101,6.22,4.5,490000000,6.210994396,390000000,51.15077784,440000000,37.40777964
C101,7.215,4.5,490000000,6.210994498,390000000,51.1507772,440000000,37.40777937
