,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
324,26.82,6.06,26.7,2.2,427000000,12.314389597288,327000000,80.666904569795
325,26.82,6.06,26.7,2.3,430000000,12.102475997322,330000000,78.408296889055
326,26.82,6.06,26.7,2.4,433000000,11.881328002548,333000000,76.369843604496
327,26.82,6.06,26.7,2.5,436000000,11.650099276154,336000000,74.508156548791
328,26.82,6.06,26.7,2.6,439000000,11.407709489023,339000000,72.790820084177
330,26.82,6.06,26.82,2.2,426000000,12.457507805608,326000000,79.773614120651
331,26.82,6.06,26.82,2.3,429000000,12.245734678164,329000000,77.63956359124
332,26.82,6.06,26.82,2.4,432000000,12.025055632609,332000000,75.699568716512
333,26.82,6.06,26.82,2.5,435000000,11.794561686212,335000000,73.917291995114
334,26.82,6.06,26.82,2.6,438000000,11.553114941469,338000000,72.265049049903
336,26.82,6.06,26.94,2.2,425000000,12.602434781044,325000000,79.001022813085
337,26.82,6.06,26.94,2.3,428000000,12.390656423864,328000000,76.970678096345
338,26.82,6.06,26.94,2.4,431000000,12.170276757177,331000000,75.113788778552
339,26.82,6.06,26.94,2.5,434000000,11.940319460965,334000000,73.399265364611
340,26.82,6.06,26.94,2.6,437000000,11.69958555092,337000000,71.80302640846
342,26.82,6.06,27.06,2.2,424000000,12.749373326205,324000000,78.327677985626
343,26.82,6.06,27.06,2.3,427000000,12.537487343909,327000000,76.38530040636
344,26.82,6.06,27.06,2.4,430000000,12.317280822592,330000000,74.599692344047
345,26.82,6.06,27.06,2.5,433000000,12.087703960628,333000000,72.943787833171
346,26.82,6.06,27.06,2.6,436000000,11.847491544084,336000000,71.396320981648
348,26.82,6.06,27.18,2.2,423000000,12.898434050016,323000000,77.737486592905
349,26.82,6.06,27.18,2.3,426000000,12.686393431703,326000000,75.870922148547
350,26.82,6.06,27.18,2.4,429000000,12.466289696056,329000000,74.147311239059
351,26.82,6.06,27.18,2.5,432000000,12.236991704953,332000000,72.542750564093
352,26.82,6.06,27.18,2.6,435000000,11.997160989402,335000000,71.038222089749
354,26.82,6.06,27.3,2.2,422000000,13.049598582092,322000000,77.218020148898
355,26.82,6.06,27.3,2.3,425000000,12.837427371419,325000000,75.417709791258
356,26.82,6.06,27.3,2.4,428000000,12.617428171952,328000000,73.748698428588
357,26.82,6.06,27.3,2.5,431000000,12.388378620023,331000000,72.189619663977
358,26.82,6.06,27.3,2.6,434000000,12.14885774762,334000000,70.723280847559
360,26.82,6.18,26.7,2.2,426000000,12.411355168374,326000000,79.203949480387
361,26.82,6.18,26.7,2.3,429000000,12.19766719301,329000000,77.110207302596
362,26.82,6.18,26.7,2.4,432000000,11.975602535861,332000000,75.203385309236
363,26.82,6.18,26.7,2.5,435000000,11.74432238567,335000000,73.449039376331
364,26.82,6.18,26.7,2.6,438000000,11.502735560216,338000000,71.820816398235
366,26.82,6.18,26.82,2.2,425000000,12.555410085656,325000000,78.449640686369
367,26.82,6.18,26.82,2.3,428000000,12.341881532675,328000000,76.456962439554
368,26.82,6.18,26.82,2.4,431000000,12.120337317118,331000000,74.63130954698
369,26.82,6.18,26.82,2.5,434000000,11.889868925308,334000000,72.943294498799
370,26.82,6.18,26.82,2.6,437000000,11.649320692495,337000000,71.370039121423
372,26.82,6.18,26.94,2.2,424000000,12.701143736187,324000000,77.793474605383
373,26.82,6.18,26.94,2.3,427000000,12.487647968868,327000000,75.886291506465
374,26.82,6.18,26.94,2.4,430000000,12.266480328863,330000000,74.130102043067
375,26.82,6.18,26.94,2.5,433000000,12.036656377951,333000000,72.499370909494
376,26.82,6.18,26.94,2.6,436000000,11.79695057201,336000000,70.973919537222
378,26.82,6.18,27.06,2.2,423000000,12.848629898296,323000000,77.219352607985
379,26.82,6.18,27.06,2.3,426000000,12.635092925729,326000000,75.385664623488
380,26.82,6.18,27.06,2.4,429000000,12.414212198011,329000000,73.689763367908
381,26.82,6.18,27.06,2.5,432000000,12.184919465641,332000000,72.109122876621
382,26.82,6.18,27.06,2.6,435000000,11.945912046147,335000000,70.62570738237
384,26.82,6.18,27.18,2.2,422000000,12.997806307272,322000000,76.71483293998
385,26.82,6.18,27.18,2.3,425000000,12.784221629687,325000000,74.945218967036
386,26.82,6.18,27.18,2.4,428000000,12.563607929568,328000000,73.302307118622
387,26.82,6.18,27.18,2.5,431000000,12.334803299524,331000000,71.76597116943
388,26.82,6.18,27.18,2.6,434000000,12.096418485947,334000000,70.319905534555
390,26.82,6.18,27.3,2.2,421000000,13.148426242915,321000000,76.269996255845
391,26.82,6.18,27.3,2.3,424000000,12.934873929691,324000000,74.55695986091
392,26.82,6.18,27.3,2.4,427000000,12.714597124079,327000000,72.961175581519
393,26.82,6.18,27.3,2.5,430000000,12.486328101331,330000000,71.464461850447
394,26.82,6.18,27.3,2.6,433000000,12.248579040973,333000000,70.051927939997
396,26.82,6.3,26.7,2.2,425000000,12.502168816894,325000000,77.925734835762
397,26.82,6.3,26.7,2.3,428000000,12.286241861479,328000000,75.965866901996
