,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
475,26.94,5.82,26.82,1.1,394000000,14.008817026567,294000000,95.417764912956
476,26.94,5.82,26.82,1.2,397000000,13.910442217679,297000000,100.557929517383
477,26.94,5.82,26.82,1.3,400000000,13.792842219541,300000000,107.386164797531
478,26.94,5.82,26.82,1.4,403000000,13.659450105072,303000000,114.706090073832
480,26.94,5.82,26.94,1,390000000,14.261273809652,290000000,93.862174798887
481,26.94,5.82,26.94,1.1,393000000,14.17717305608,293000000,98.390736912821
482,26.94,5.82,26.94,1.2,396000000,14.071225376645,296000000,104.345504860777
483,26.94,5.82,26.94,1.3,399000000,13.947330023187,299000000,112.309439800666
484,26.94,5.82,26.94,1.4,402000000,13.808860945095,302000000,118.276804621815
486,26.94,5.82,27.06,1,389000000,14.43897696655,289000000,96.603380760837
487,26.94,5.82,27.06,1.1,392000000,14.345822004482,292000000,101.815452439924
488,26.94,5.82,27.06,1.2,395000000,14.232184209657,295000000,108.876304952538
489,26.94,5.82,27.06,1.3,398000000,14.101930806162,298000000,117.610815906202
490,26.94,5.82,27.06,1.4,401000000,13.958362649996,301000000,117.202015995856
492,26.94,5.82,27.18,1,388000000,14.61662771584,288000000,99.721791494998
493,26.94,5.82,27.18,1.1,391000000,14.51424882718,291000000,105.878519068612
494,26.94,5.82,27.18,1.2,394000000,14.392827154292,294000000,114.231017151378
495,26.94,5.82,27.18,1.3,397000000,14.256180694703,297000000,119.774189046233
496,26.94,5.82,27.18,1.4,400000000,14.107522869783,300000000,113.133852308253
498,26.94,5.82,27.3,1,387000000,14.793467259866,287000000,103.370483295049
499,26.94,5.82,27.3,1.1,390000000,14.681715314397,290000000,110.7990943218
500,26.94,5.82,27.3,1.2,393000000,14.552442371272,293000000,118.444078710342
501,26.94,5.82,27.3,1.3,396000000,14.409399177053,296000000,117.396656508233
502,26.94,5.82,27.3,1.4,399000000,14.255697110626,299000000,109.302507239636
